theta_deg_center,theta_percent_per_1deg_bin,r_formula_no_bg,r_mean_Itot1_bg,r_p05_Itot1_bg,r_p95_Itot1_bg,r_mean_ItotSin2_bg,r_p05_ItotSin2_bg,r_p95_ItotSin2_bg
1.049999999999999822e+01,3.261999999999999900e-01,5.952154398279738134e-02,3.862217104568205911e-02,3.542132230210375682e-02,4.178501166859906885e-02,3.444967224005972359e-03,2.895122456507631583e-03,4.014134216141629699e-03
1.150000000000000000e+01,3.469999999999999751e-01,7.083630421405301414e-02,4.603761364177869769e-02,4.257978825790544736e-02,4.944488210450313781e-02,4.871324967854166396e-03,4.166376628260888039e-03,5.595799446528491525e-03
1.250000000000000178e+01,3.704000000000000070e-01,8.297751699990607577e-02,5.402602619689676755e-02,5.028255355054441628e-02,5.762298246805116347e-02,6.674698527469956344e-03,5.784175522732484809e-03,7.563505298890782665e-03
1.350000000000000000e+01,4.079999999999999738e-01,9.589819771886065602e-02,6.251599826542525440e-02,5.857686676036569923e-02,6.649141536004274378e-02,8.890140784076556654e-03,7.811576577763773219e-03,1.001772738101329961e-02
1.450000000000000178e+01,4.395000000000000018e-01,1.095496013550539688e-01,7.160320485539911628e-02,6.741447496343772050e-02,7.580358958924744706e-02,1.159674697458250303e-02,1.029209756275686373e-02,1.294722561868702840e-02
1.550000000000000000e+01,4.786000000000000254e-01,1.238816179929062566e-01,8.118275414763777287e-02,7.674079511266941600e-02,8.558167319382975480e-02,1.481763639324602810e-02,1.326179417305998857e-02,1.640440717092006562e-02
1.650000000000000000e+01,4.954000000000000070e-01,1.388431605304547845e-01,9.115378549521994944e-02,8.652086192952303245e-02,9.584883980215266885e-02,1.856365857902525507e-02,1.675672885126313488e-02,2.044591670272188563e-02
1.750000000000000000e+01,5.180000000000000160e-01,1.543825398309520425e-01,1.016727579513954649e-01,9.685264836084844786e-02,1.064860979641235050e-01,2.294064979049278974e-02,2.086331760339334151e-02,2.506759669347515332e-02
1.850000000000000000e+01,5.435999999999999721e-01,1.704478231118592424e-01,1.126278510329462579e-01,1.075454635013057825e-01,1.175672780208204676e-01,2.795291612306023341e-02,2.555167960494535151e-02,3.034101253786889232e-02
1.950000000000000355e+01,5.920999999999999597e-01,1.869871719960437828e-01,1.238960590289649860e-01,1.186931391056267882e-01,1.290395307595312846e-01,3.357842751674662563e-02,3.090253472319766728e-02,3.628107080805297729e-02
2.050000000000000000e+01,6.006000000000000227e-01,2.039491572997711721e-01,1.354914401757269238e-01,1.301662191839967619e-01,1.408011304774269556e-01,3.985233371361341509e-02,3.689030422788881075e-02,4.286443812825421057e-02
2.150000000000000000e+01,6.554999999999999716e-01,2.212830482854867831e-01,1.475123654626745440e-01,1.420114379065747778e-01,1.529763173227267070e-01,4.686069840533525072e-02,4.356966531165848422e-02,5.019012027302317824e-02
2.250000000000000000e+01,6.601000000000000201e-01,2.389390747461554443e-01,1.598120286368403253e-01,1.541593077974726944e-01,1.653104405914604391e-01,5.454644792742308762e-02,5.092901492912795675e-02,5.812481628437921738e-02
2.350000000000000000e+01,6.853000000000000203e-01,2.568686608964595997e-01,1.723327754545958823e-01,1.666324942429706357e-01,1.779563805915997110e-01,6.288810904159169990e-02,5.900526964169975491e-02,6.677894477667362105e-02
2.450000000000000355e+01,7.260999999999999677e-01,2.750246306117397621e-01,1.851120605189172652e-01,1.792778369860435206e-01,1.908259132651012602e-01,7.192289468618379145e-02,6.771285718049059599e-02,7.610677701335487322e-02
2.550000000000000000e+01,7.618000000000000327e-01,2.933613840685079244e-01,1.980921086372894324e-01,1.922172734012066730e-01,2.039364566614814689e-01,8.161915426329054146e-02,7.714589878939427658e-02,8.612973944091419087e-02
2.650000000000000000e+01,7.779000000000000359e-01,3.118350462939216694e-01,2.112108846027565545e-01,2.052752797813342800e-01,2.171546787621932706e-01,9.193132670225012681e-02,8.718203728409008868e-02,9.674651859493599293e-02
2.750000000000000000e+01,7.960000000000000409e-01,3.304035885217855850e-01,2.246197485140120353e-01,2.185618445651546227e-01,2.306338451523815281e-01,1.029823238196952567e-01,9.790614814993162107e-02,1.080806583335529036e-01
2.850000000000000355e+01,8.204000000000000181e-01,3.490269235779782653e-01,2.380781887820144216e-01,2.319438634329330229e-01,2.441502542699550138e-01,1.145725553926778689e-01,1.092087476984754946e-01,1.199395345887995928e-01
2.949999999999999645e+01,8.635000000000000453e-01,3.676669767793578347e-01,2.516653581990391242e-01,2.454931732877314310e-01,2.578095838993381683e-01,1.267585413788054616e-01,1.211439346523886657e-01,1.324039566977543159e-01
3.050000000000000000e+01,8.802999999999999714e-01,3.862877340296667628e-01,2.653274782643242902e-01,2.591357925502000836e-01,2.714667458112719478e-01,1.394809970882474326e-01,1.336390456484699563e-01,1.453272183457072209e-01
3.150000000000000000e+01,9.297999999999999599e-01,4.048552689376422320e-01,2.789979571451466356e-01,2.728388433078131614e-01,2.852160831251049911e-01,1.526611177229780514e-01,1.466502196522374568e-01,1.587813807104957176e-01
3.250000000000000000e+01,9.434000000000000163e-01,4.233377508713953019e-01,2.928306171086079712e-01,2.865678404189829775e-01,2.990025415385361707e-01,1.664331926791151606e-01,1.601273365307824825e-01,1.726971787837670025e-01
3.350000000000000000e+01,9.576999999999999957e-01,4.417054359048119272e-01,3.065939342591208483e-01,3.003982652387093832e-01,3.127318916027144735e-01,1.805501509568695484e-01,1.741288990116023061e-01,1.869573477352521607e-01
3.450000000000000711e+01,9.850999999999999757e-01,4.599306426123149771e-01,3.203685640538277424e-01,3.141356462556946783e-01,3.265197012607616300e-01,1.950709084558180650e-01,1.884371574776289582e-01,2.016610392551715925e-01
3.550000000000000000e+01,1.005700000000000038e+00,4.779877146339835403e-01,3.340464749720979953e-01,3.278377939543586361e-01,3.401626749665092042e-01,2.098567113952370111e-01,2.030860226321364592e-01,2.165676868339917460e-01
3.650000000000000000e+01,1.042300000000000004e+00,4.958529718698753141e-01,3.477109430709559024e-01,3.415538261749365145e-01,3.538313717403930303e-01,2.249743111965845643e-01,2.181068903357327171e-01,2.318392946240693808e-01
3.750000000000000000e+01,1.069700000000000095e+00,5.135046520762368560e-01,3.613835650098077834e-01,3.552413426235627170e-01,3.674048748012374022e-01,2.404272256079703074e-01,2.334330253765094787e-01,2.473192445368787851e-01
3.850000000000000000e+01,1.075599999999999890e+00,5.309228445325657741e-01,3.748261882524496214e-01,3.687455173809018327e-01,3.808507130221798764e-01,2.559206491223580682e-01,2.488644979476888619e-01,2.629446814807495647e-01
3.950000000000000000e+01,1.116400000000000059e+00,5.480894173321483320e-01,3.881643576834505338e-01,3.821305903229263445e-01,3.942025043175918508e-01,2.715702071621059477e-01,2.644464892947008261e-01,2.787302371509723931e-01
