source,rod,passes,n,r_min,r_mean,r_std,r_max,ac_lag_r,phi_coverage_frac
bad,rod_x1463_y954_20260617-170827_1781712507411063400,False,3000,0.0075,0.3376,0.1203,0.5938,99.16,1.000
bad,rod_x1475_y545_20260630-172434_1782836674104141800,True,1640,0.0148,0.4267,0.1996,0.8213,30.08,1.000
bad,rod_x1514_y975_20260617-151631_1781705791629382900,False,1500,0.0696,0.2761,0.0596,0.4583,4.62,0.278
bad,rod_x1514_y975_20260617-151641_1781705801458315800,True,1500,0.0532,0.4438,0.1506,0.7908,34.81,1.000
bad,rod_x1519_y571_20260630-172109_1782836469415904700,False,1640,0.0022,0.1766,0.0922,0.5212,15.90,1.000
bad,rod_x1529_y1230_20260630-173001_1782837001737000900,False,1640,0.0116,0.2377,0.1078,0.5364,12.19,1.000
bad,rod_x1539_y611_20260630-172408_1782836648361393000,True,1640,0.0069,0.3699,0.1545,0.7919,13.56,1.000
bad,rod_x1543_y1261_20260630-172045_1782836445523364600,True,1640,0.0072,0.2988,0.1459,0.6751,27.03,1.000
bad,rod_x1577_y568_20260630-171908_1782836348207448600,True,1640,0.0173,0.3261,0.1447,0.7041,9.59,1.000
bad,rod_x1592_y1237_20260630-173014_1782837014291453500,True,1640,0.0155,0.3668,0.2086,0.8783,34.73,1.000
bad,rod_x1597_y1013_20260617-151521_1781705721426375500,True,3000,0.0343,0.4227,0.1668,0.8351,65.65,1.000
bad,rod_x1602_y546_20260630-181454_1782839694115499400,True,1640,0.0123,0.3276,0.1383,0.7038,16.85,1.000
bad,rod_x1612_y1259_20260630-172642_1782836802733343600,True,1640,0.0055,0.3598,0.1493,0.7703,28.14,1.000
bad,rod_x1612_y1259_20260630-172652_1782836812739849400,True,1640,0.0323,0.4795,0.1494,0.8203,17.92,1.000
bad,rod_x1612_y1259_20260630-172716_1782836836450515100,True,1640,0.0076,0.6635,0.1711,0.9174,36.79,1.000
bad,rod_x1612_y1259_20260630-172724_1782836844294839100,True,1640,0.0095,0.4708,0.1652,0.8730,55.09,1.000
bad,rod_x1617_y963_20260617-151354_1781705634209416200,True,3000,0.0030,0.5133,0.2106,0.9620,84.37,1.000
bad,rod_x1617_y963_20260617-151417_1781705657204178100,True,3000,0.0098,0.4009,0.2124,0.8934,183.50,1.000
bad,rod_x1619_y1222_20260630-172843_1782836923995648200,True,1640,0.0207,0.3850,0.1558,0.7541,10.87,1.000
bad,rod_x1626_y1096_20260630-181207_1782839527818404700,True,1640,0.0958,0.5084,0.1295,0.7692,50.14,0.778
bad,rod_x1626_y1096_20260630-181213_1782839533572487200,True,1640,0.0049,0.2985,0.1415,0.6556,35.55,1.000
bad,rod_x1634_y1191_20260630-171155_1782835915553858900,True,1640,0.0227,0.4258,0.1836,0.8417,43.36,1.000
bad,rod_x1636_y1215_20260630-181317_1782839597215407600,True,1640,0.0046,0.2588,0.1357,0.6735,28.21,1.000
bad,rod_x1648_y583_20260630-172918_1782836958605802800,False,1640,0.0062,0.2942,0.1007,0.5997,12.22,0.722
bad,rod_x1648_y583_20260630-172929_1782836969808690800,True,1640,0.0054,0.4858,0.2183,0.8775,18.60,1.000
bad,rod_x1648_y583_20260630-172935_1782836975700502500,False,1640,0.0078,0.2354,0.1098,0.5348,9.91,1.000
bad,rod_x1658_y1185_20260630-171824_1782836304516146100,True,1640,0.0014,0.3132,0.1411,0.8022,16.66,1.000
bad,rod_x1680_y1195_20260630-173224_1782837144106109100,True,1640,0.0042,0.3134,0.1347,0.7190,9.53,1.000
bad,rod_x1700_y1132_20260630-171636_1782836196652773300,True,1640,0.0101,0.3006,0.1443,0.7455,15.85,1.000
bad,rod_x1707_y1342_20260630-173237_1782837157888065600,True,1640,0.0247,0.5927,0.1580,0.8857,19.63,1.000
