source,rod,passes,n,r_min,r_mean,r_std,r_max,ac_lag_r,phi_coverage_frac
pending,rod_x772_y884_20260707-155801_1783436281383561700,True,5000,0.0102,0.5322,0.1798,0.8717,249.49,1.000
pending,rod_x772_y884_20260707-155815_1783436295152191600,True,5000,0.0010,0.3093,0.1321,0.7223,,1.000
pending,rod_x772_y884_20260707-155830_1783436310449997800,True,5000,0.0038,0.3916,0.1416,0.7257,197.78,1.000
pending,rod_x794_y1154_20260707-154343_1783435423073345800,True,5000,0.0229,0.4139,0.1826,0.8367,277.07,0.722
pending,rod_x794_y1154_20260707-154426_1783435466769900100,True,5000,0.0064,0.3045,0.1366,0.6165,223.46,1.000
pending,rod_x811_y1076_20260707-154654_1783435614284915900,False,5000,0.0038,0.3022,0.1656,0.7770,,1.000
pending,rod_x877_y429_20260707-150646_1783433206087674100,False,5000,0.3165,0.5110,0.0742,0.7479,193.21,0.278
pending,rod_x877_y429_20260707-150708_1783433228417794200,False,5000,0.0371,0.2904,0.1144,0.6050,269.07,0.500
pending,rod_x877_y429_20260707-150715_1783433235620763200,False,5000,0.0043,0.3388,0.1284,0.5769,382.20,1.000
pending,rod_x877_y429_20260707-150722_1783433242727254300,False,5000,0.2402,0.4905,0.1148,0.7976,,0.333
pending,rod_x893_y961_20260707-154229_1783435349734602100,True,5000,0.0686,0.4342,0.1276,0.7269,194.77,0.944
pending,rod_x911_y933_20260707-145131_1783432291279208300,True,5000,0.0143,0.3703,0.1415,0.7057,194.17,0.944
pending,rod_x912_y924_20260707-145205_1783432325757127600,False,5000,0.0027,0.2762,0.1339,0.5823,133.08,1.000
pending,rod_x913_y950_20260707-153919_1783435159619344100,False,5000,0.0106,0.3484,0.1038,0.5928,150.82,0.944
pending,rod_x927_y1012_20260707-152555_1783434355263235500,True,5000,0.0035,0.2916,0.1335,0.6180,149.03,1.000
pending,rod_x927_y1012_20260707-152604_1783434364443112400,False,5000,0.0048,0.3171,0.1396,0.6039,233.52,1.000
pending,rod_x966_y1677_20260707-154957_1783435797747323100,True,5000,0.0060,0.5116,0.2208,0.8746,368.60,1.000
pending,rod_x966_y1677_20260707-155024_1783435824578703400,True,5000,0.0058,0.3449,0.1731,0.7731,197.93,1.000
pending,rod_x967_y1661_20260707-154931_1783435771453072700,True,5000,0.0011,0.2989,0.1485,0.7010,105.19,1.000
pending,rod_x968_y1677_20260707-155049_1783435849277847700,True,5000,0.0096,0.4932,0.1931,0.8491,226.03,1.000
pending,rod_x968_y1677_20260707-155105_1783435865220240700,True,5000,0.1670,0.5703,0.1584,0.8989,272.32,1.000
pending,rod_x968_y1677_20260707-155117_1783435877778063800,True,5000,0.0254,0.5467,0.1467,0.7898,101.87,1.000
good,rod_x2286_y1381_20260707-160233_1783436553492593400,True,5000,0.0114,0.4150,0.1429,0.7366,208.30,1.000
good,rod_x2286_y1381_20260707-160245_1783436565623485600,True,5000,0.0370,0.4998,0.1727,0.8475,194.88,1.000
good,rod_x910_y668_20260707-160542_1783436742298770000,True,5000,0.0218,0.4710,0.1597,0.8144,319.33,0.778
bad,rod_x1376_y903_20260707-160500_1783436700387805800,False,5000,0.0026,0.3840,0.1764,0.6563,,1.000
bad,rod_x1393_y1332_20260707-160358_1783436638536895000,False,5000,0.0068,0.3052,0.1330,0.6416,230.73,1.000
bad,rod_x1877_y1178_20260707-160215_1783436535361314900,False,5000,0.0076,0.2702,0.1153,0.5752,68.66,1.000
bad,rod_x1933_y1076_20260707-160256_1783436576522453600,False,5000,0.0053,0.2270,0.0980,0.6298,,0.944
