percentage_bin_center,r=0.0500,r=0.0600,r=0.0700,r=0.0800,r=0.0900,r=0.1000,r=0.1100,r=0.1200,r=0.1300,r=0.1400,r=0.1500,r=0.1600,r=0.1700,r=0.1800,r=0.1900,r=0.2000,r=0.2100,r=0.2200,r=0.2300,r=0.2400,r=0.2500,r=0.2600,r=0.2700,r=0.2800,r=0.2900,r=0.3000,r=0.3100,r=0.3200,r=0.3300,r=0.3400,r=0.3500,r=0.3600,r=0.3700,r=0.3800,r=0.3900,r=0.4000,r=0.4100,r=0.4200,r=0.4300,r=0.4400,r=0.4500,r=0.4600,r=0.4700,r=0.4800,r=0.4900,r=0.5000,r=0.5100,r=0.5200,r=0.5300,r=0.5400,r=0.5500,r=0.5600,r=0.5700,r=0.5800,r=0.5900,r=0.6000,r=0.6100,r=0.6200,r=0.6300,r=0.6400,r=0.6500,r=0.6600,r=0.6700,r=0.6800,r=0.6900,r=0.7000,r=0.7100,r=0.7200,r=0.7300,r=0.7400,r=0.7500,r=0.7600,r=0.7700,r=0.7800,r=0.7900,r=0.8000,r=0.8100,r=0.8200,r=0.8300,r=0.8400,r=0.8500,r=0.8600,r=0.8700,r=0.8800
7.65,0.0024760461294897184,0.0030885887275264637,0.003726024656780628,0.005038539198709752,0.006813573137769222,0.00905112007610945,0.012651043711106211,0.016288497670482373,0.02146335853434145,0.03056318767172272,0.04126306736717644,0.052800330002062704,0.06793750000000025,0.0825125000000003,0.10360000000000036,0.12650000000000045,0.14932500000000054,0.17700000000000063,0.20067500000000071,0.2286250000000008,0.25365000000000093,0.273012500000001,0.28866250000000104,0.2961750000000011,0.30008750000000106,0.29627500000000107,0.29422500000000107,0.28511250000000105,0.27045000000000097,0.2544375000000009,0.24408750000000087,0.2294500000000008,0.21620000000000075,0.1960000000000007,0.18327500000000066,0.16845000000000057,0.15365000000000054,0.14221250000000052,0.12847500000000045,0.11746250000000041,0.10613750000000038,0.09747500000000034,0.09087500000000033,0.08243750000000029,0.07651250000000027,0.07095000000000025,0.06411250000000022,0.05932500000000021,0.0552125000000002,0.05331250000000019,0.049762500000000175,0.04728750000000016,0.044775000000000155,0.042100000000000144,0.04010000000000014,0.03905000000000014,0.037712500000000135,0.03505000000000012,0.033787500000000116,0.03326250000000012,0.03281250000000012,0.032550000000000114,0.03157500000000012,0.030712500000000108,0.030012500000000105,0.029037500000000105,0.0281125000000001,0.0279125000000001,0.027262500000000096,0.027375000000000097,0.027375000000000097,0.027175000000000095,0.027412500000000097,0.027437500000000097,0.027137500000000096,0.026837500000000094,0.026925000000000095,0.026900000000000094,0.026862500000000095,0.026962500000000094,0.026962500000000094,0.026862500000000095,0.026787500000000096,0.026787500000000096
7.75,0.003176342004496883,0.0036762958943027226,0.0048138238015453996,0.006326304800365041,0.008063770043781853,0.010951355230209679,0.01455120047403903,0.02023873962280179,0.025826033041321517,0.03428827148610825,0.04607563353996093,0.06001287508046894,0.07359999999999961,0.08993749999999953,0.11494999999999939,0.13889999999999925,0.1622874999999991,0.18428749999999902,0.21451249999999888,0.23896249999999872,0.2613874999999986,0.27716249999999854,0.2865874999999985,0.2972249999999984,0.2969749999999984,0.2928124999999984,0.2838999999999985,0.27334999999999854,0.2589499999999986,0.2424874999999987,0.22873749999999876,0.21696249999999884,0.19539999999999894,0.183399999999999,0.16808749999999908,0.15266249999999917,0.14087499999999925,0.12698749999999934,0.11598749999999938,0.10349999999999945,0.09533749999999949,0.08756249999999953,0.08084999999999957,0.0748249999999996,0.06756249999999964,0.060787499999999675,0.0562249999999997,0.05316249999999972,0.049787499999999735,0.046712499999999754,0.04426249999999976,0.04124999999999978,0.04021249999999978,0.0379499999999998,0.03516249999999981,0.033349999999999824,0.03236249999999983,0.03216249999999983,0.030599999999999836,0.02957499999999984,0.02787499999999985,0.026874999999999857,0.02681249999999986,0.02642499999999986,0.025599999999999862,0.025549999999999864,0.025974999999999863,0.025674999999999865,0.025737499999999865,0.025362499999999864,0.025012499999999868,0.02491249999999987,0.02453749999999987,0.02459999999999987,0.02447499999999987,0.02456249999999987,0.024449999999999868,0.024424999999999867,0.024487499999999867,0.02437499999999987,0.02434999999999987,0.02434999999999987,0.024387499999999868,0.024387499999999868
7.8500000000000005,0.003714069194234577,0.004789188188836582,0.006001650453874837,0.007814111660530011,0.01005158312434212,0.013376655361100984,0.017826470683831478,0.02193884375418002,0.030763730549222077,0.04208844699005742,0.05231321930676565,0.06657541609635084,0.08088750000000029,0.10252500000000037,0.12462500000000043,0.14595000000000052,0.17258750000000062,0.1970250000000007,0.2241375000000008,0.24936250000000088,0.267875000000001,0.28313750000000104,0.29018750000000104,0.291362500000001,0.286812500000001,0.28213750000000104,0.273875000000001,0.2598125000000009,0.24217500000000086,0.23196250000000085,0.21791250000000076,0.19746250000000068,0.18526250000000066,0.16790000000000058,0.15305000000000055,0.14078750000000048,0.12650000000000045,0.1140750000000004,0.10191250000000036,0.09393750000000033,0.08610000000000032,0.07885000000000028,0.07175000000000026,0.06447500000000023,0.05871250000000021,0.05375000000000019,0.05128750000000018,0.04705000000000016,0.04516250000000016,0.040900000000000145,0.03970000000000014,0.03717500000000013,0.033225000000000116,0.032400000000000116,0.031587500000000115,0.03035000000000011,0.0285500000000001,0.026687500000000097,0.026725000000000096,0.025337500000000093,0.025625000000000092,0.02538750000000009,0.024562500000000088,0.024125000000000087,0.023975000000000087,0.023737500000000085,0.022975000000000082,0.022687500000000083,0.022325000000000077,0.02225000000000008,0.022075000000000077,0.022012500000000077,0.022075000000000077,0.02171250000000008,0.021600000000000077,0.021437500000000078,0.021300000000000076,0.021375000000000078,0.02133750000000008,0.021387500000000077,0.021350000000000077,0.021362500000000076,0.02133750000000008,0.021350000000000077
7.95,0.005439798314788017,0.005989611337996665,0.007602090574908127,0.009076872104871661,0.012189419833623838,0.015464413721198052,0.020926726454932605,0.0269516507886109,0.03598893955758243,0.04586353192946858,0.060088326214485656,0.07223795148719706,0.08891250000000031,0.1123875000000004,0.13530000000000048,0.15936250000000057,0.18155000000000066,0.21048750000000077,0.23483750000000084,0.2555750000000009,0.271387500000001,0.27862500000000096,0.29052500000000103,0.285850000000001,0.28516250000000104,0.27505000000000096,0.2603625000000009,0.24525000000000088,0.23306250000000084,0.21882500000000077,0.20328750000000073,0.18651250000000066,0.16931250000000062,0.15442500000000053,0.1408375000000005,0.12601250000000044,0.1137750000000004,0.10237500000000037,0.09291250000000033,0.08500000000000031,0.07666250000000027,0.07058750000000026,0.06202500000000022,0.0566500000000002,0.05196250000000018,0.04866250000000017,0.045137500000000164,0.04207500000000015,0.03880000000000013,0.03705000000000013,0.03281250000000012,0.031712500000000116,0.03128750000000011,0.029037500000000105,0.026787500000000096,0.026062500000000093,0.024787500000000087,0.024675000000000086,0.023825000000000086,0.023775000000000088,0.022812500000000083,0.022037500000000078,0.021850000000000078,0.021050000000000072,0.02090000000000007,0.020762500000000073,0.020450000000000072,0.020250000000000073,0.01986250000000007,0.01928750000000007,0.01918750000000007,0.019300000000000067,0.01890000000000007,0.01893750000000007,0.018862500000000067,0.018925000000000067,0.01893750000000007,0.018812500000000065,0.018775000000000066,0.018662500000000064,0.018662500000000064,0.018662500000000064,0.018662500000000064,0.018650000000000066
8.05,0.006252641741135653,0.007565166721269275,0.009052489434594545,0.011902454881319316,0.014677311676589115,0.019589924253126396,0.022939392499881323,0.03165193868124434,0.04226419056762286,0.05166366243240491,0.065638402528035,0.07993799961249785,0.10048750000000037,0.12203750000000044,0.1430750000000005,0.16817500000000057,0.1931000000000007,0.2203500000000008,0.24491250000000087,0.26336250000000094,0.275037500000001,0.28435000000000105,0.283150000000001,0.28295000000000103,0.273125000000001,0.26412500000000094,0.24973750000000086,0.23262500000000083,0.21926250000000078,0.20606250000000073,0.18615000000000065,0.1708625000000006,0.15600000000000055,0.14145000000000052,0.12612500000000046,0.1132125000000004,0.10202500000000037,0.09156250000000032,0.08398750000000028,0.07557500000000027,0.06932500000000025,0.06017500000000022,0.05477500000000019,0.05060000000000018,0.047012500000000165,0.04422500000000015,0.03937500000000014,0.03738750000000013,0.034150000000000125,0.031400000000000115,0.031025000000000108,0.0285125000000001,0.025937500000000092,0.024800000000000086,0.024925000000000086,0.02355000000000008,0.023125000000000083,0.022150000000000076,0.021562500000000078,0.020662500000000073,0.020337500000000074,0.01977500000000007,0.019012500000000068,0.018712500000000066,0.017800000000000062,0.01727500000000006,0.01675000000000006,0.01650000000000006,0.01641250000000006,0.01640000000000006,0.016275000000000057,0.01591250000000006,0.016087500000000057,0.015825000000000058,0.01585000000000006,0.015662500000000055,0.015587500000000054,0.015650000000000056,0.015612500000000055,0.015612500000000055,0.015687500000000056,0.015687500000000056,0.015700000000000058,0.015700000000000058
8.15,0.007403127821504481,0.00895315598748546,0.011015529270549244,0.013552795264023011,0.0177778000035003,0.02092758978923612,0.02888988341538136,0.03676475184104974,0.045114304572182254,0.05992634834283686,0.07116347849782834,0.08690054312839332,0.11004999999999844,0.13249999999999812,0.1559374999999978,0.17863749999999745,0.20568749999999708,0.2291874999999967,0.24979999999999644,0.2659374999999962,0.2743874999999961,0.28314999999999596,0.27789999999999604,0.27527499999999605,0.2674499999999962,0.2522999999999964,0.23303749999999668,0.22348749999999684,0.209574999999997,0.18989999999999732,0.17538749999999748,0.15891249999999774,0.14257499999999798,0.1285624999999982,0.11463749999999837,0.10348749999999853,0.0913999999999987,0.08346249999999882,0.07477499999999894,0.06824999999999903,0.05907499999999916,0.05318749999999924,0.05008749999999929,0.04518749999999935,0.041749999999999406,0.037949999999999456,0.03587499999999949,0.031849999999999545,0.030387499999999568,0.028874999999999592,0.02578749999999963,0.024374999999999654,0.02409999999999966,0.02341249999999967,0.02184999999999969,0.0211749999999997,0.020512499999999708,0.019824999999999718,0.018724999999999735,0.017824999999999747,0.01678749999999976,0.01627499999999977,0.015887499999999773,0.01546249999999978,0.01556249999999978,0.014924999999999789,0.014837499999999788,0.014387499999999795,0.013887499999999803,0.013974999999999802,0.013924999999999802,0.013824999999999804,0.013537499999999807,0.013737499999999804,0.013712499999999805,0.013712499999999805,0.013724999999999805,0.013699999999999804,0.013712499999999805,0.013674999999999807,0.013574999999999806,0.013562499999999807,0.013537499999999807,0.013537499999999807
8.25,0.00882873013848354,0.01082881715804825,0.013091100052514487,0.016440890933755146,0.01989063277466208,0.02537814054489252,0.032077646405828594,0.043152643099389994,0.052577103084123555,0.06528896900180278,0.07837607767106826,0.09833811461321668,0.11907500000000042,0.13977500000000048,0.1640250000000006,0.18798750000000067,0.21521250000000075,0.24001250000000085,0.2570000000000009,0.26766250000000097,0.27752500000000097,0.277912500000001,0.275800000000001,0.26681250000000095,0.2534500000000009,0.23763750000000083,0.2263125000000008,0.21200000000000077,0.19590000000000068,0.17776250000000063,0.16017500000000057,0.1451250000000005,0.13105000000000047,0.11603750000000042,0.10441250000000037,0.09150000000000033,0.08316250000000029,0.07503750000000027,0.06820000000000025,0.05835000000000021,0.052062500000000185,0.04885000000000017,0.043962500000000154,0.04030000000000014,0.03755000000000013,0.03376250000000012,0.03056250000000011,0.029362500000000104,0.02621250000000009,0.024625000000000088,0.023937500000000087,0.02308750000000008,0.021637500000000077,0.020200000000000072,0.01980000000000007,0.018550000000000066,0.017300000000000062,0.016037500000000055,0.015587500000000054,0.015150000000000054,0.014537500000000052,0.01391250000000005,0.013750000000000047,0.013575000000000047,0.013012500000000045,0.013062500000000046,0.012887500000000045,0.012987500000000046,0.013075000000000045,0.012687500000000046,0.012600000000000045,0.012375000000000044,0.012400000000000043,0.012237500000000043,0.012075000000000044,0.012012500000000044,0.011975000000000043,0.011950000000000044,0.011875000000000044,0.011887500000000044,0.011875000000000044,0.011862500000000043,0.011862500000000043,0.011875000000000044
8.350000000000001,0.011517366087171872,0.012879540037863393,0.015554277426292284,0.019328986603487038,0.0229536151943932,0.03001621450654529,0.03886570642077985,0.045577791639738095,0.059214868594744,0.06970156828528666,0.0853886740942691,0.10760067250420353,0.12941250000000046,0.15165000000000053,0.1736250000000006,0.20060000000000072,0.2237250000000008,0.24342500000000086,0.2602375000000009,0.26867500000000094,0.276662500000001,0.2695875000000009,0.26643750000000094,0.2578250000000009,0.24358750000000087,0.2267500000000008,0.21285000000000076,0.19983750000000072,0.17915000000000061,0.16462500000000058,0.14933750000000054,0.13427500000000048,0.11865000000000042,0.10636250000000039,0.09262500000000033,0.0844000000000003,0.07541250000000026,0.06718750000000023,0.05762500000000021,0.05157500000000018,0.04833750000000017,0.04330000000000016,0.03923750000000014,0.03653750000000013,0.03170000000000012,0.029987500000000104,0.0279875000000001,0.02500000000000009,0.023825000000000086,0.022850000000000082,0.02146250000000008,0.01993750000000007,0.01952500000000007,0.018062500000000065,0.016362500000000058,0.015500000000000055,0.015100000000000054,0.01427500000000005,0.013462500000000047,0.013162500000000047,0.012925000000000046,0.013012500000000045,0.012437500000000044,0.011975000000000043,0.011625000000000042,0.01133750000000004,0.011025000000000038,0.010787500000000038,0.010537500000000036,0.010350000000000036,0.010300000000000037,0.010387500000000036,0.010250000000000037,0.010175000000000036,0.010337500000000036,0.010350000000000036,0.010275000000000036,0.010175000000000036,0.010262500000000037,0.010300000000000037,0.010337500000000036,0.010325000000000036,0.010337500000000036,0.010325000000000036
8.45,0.01295547368763307,0.015167846665949803,0.018692640476131003,0.02075428057036771,0.027816881158782607,0.03450426990340067,0.04205346941122657,0.05344077324736159,0.06529011160446442,0.07707673422652037,0.09603882053378268,0.11608822555141012,0.13563750000000047,0.16030000000000055,0.18323750000000066,0.20955000000000074,0.23362500000000083,0.2510500000000009,0.26140000000000096,0.27080000000000093,0.271537500000001,0.26827500000000093,0.26187500000000097,0.24541250000000087,0.2298500000000008,0.21798750000000075,0.20388750000000072,0.18326250000000066,0.17078750000000062,0.15276250000000055,0.1361375000000005,0.12080000000000043,0.10732500000000038,0.09322500000000032,0.08485000000000031,0.07490000000000026,0.06742500000000023,0.05820000000000021,0.051500000000000185,0.047750000000000174,0.04258750000000015,0.038400000000000135,0.03517500000000012,0.03091250000000011,0.029362500000000104,0.026100000000000092,0.024062500000000087,0.02330000000000008,0.022075000000000077,0.020275000000000074,0.01922500000000007,0.017900000000000065,0.015600000000000055,0.015150000000000054,0.01411250000000005,0.013487500000000048,0.012750000000000046,0.012600000000000045,0.012275000000000043,0.01158750000000004,0.01128750000000004,0.010550000000000037,0.010275000000000036,0.010100000000000036,0.010150000000000036,0.009937500000000035,0.009587500000000033,0.009625000000000035,0.009525000000000033,0.009587500000000033,0.009337500000000033,0.009300000000000032,0.009350000000000034,0.009325000000000033,0.009175000000000034,0.009150000000000033,0.009250000000000033,0.009225000000000034,0.009200000000000033,0.009125000000000032,0.009087500000000031,0.009087500000000031,0.009062500000000032,0.009062500000000032
8.55,0.01571914133721503,0.018556541180766287,0.019955487759133833,0.02568029656116583,0.030854859640393473,0.040079959895037154,0.04789145104471136,0.0587660994235899,0.06871524860994464,0.08416439369885852,0.10512644548862585,0.125863286645542,0.14701250000000052,0.16822500000000057,0.1958500000000007,0.21770000000000075,0.23735000000000084,0.2536375000000009,0.2620125000000009,0.27028750000000096,0.2633250000000009,0.2605125000000009,0.2502875000000009,0.23665000000000083,0.21906250000000077,0.20496250000000074,0.1927500000000007,0.17358750000000062,0.15577500000000055,0.14028750000000048,0.12616250000000045,0.10981250000000038,0.09698750000000035,0.0859625000000003,0.07621250000000027,0.06802500000000025,0.058862500000000206,0.051937500000000185,0.04753750000000017,0.04233750000000015,0.037912500000000134,0.034525000000000125,0.03035000000000011,0.0287125000000001,0.02506250000000009,0.023412500000000083,0.022150000000000076,0.020462500000000074,0.019325000000000068,0.017650000000000065,0.015937500000000056,0.015012500000000052,0.01422500000000005,0.012937500000000046,0.012725000000000045,0.012087500000000043,0.01133750000000004,0.010687500000000039,0.010162500000000036,0.010000000000000035,0.009762500000000035,0.009475000000000034,0.009225000000000034,0.009187500000000032,0.009012500000000033,0.009050000000000032,0.009025000000000031,0.008850000000000031,0.008825000000000032,0.00867500000000003,0.008862500000000032,0.008787500000000031,0.00862500000000003,0.008462500000000029,0.008400000000000029,0.00837500000000003,0.00832500000000003,0.00836250000000003,0.00830000000000003,0.008337500000000029,0.008337500000000029,0.008337500000000029,0.00835000000000003,0.00835000000000003
8.65,0.018357756151973947,0.019644424659692263,0.024519242791767384,0.02945607531553341,0.037068338263275935,0.04245525383766181,0.05415446774358807,0.06489147460281851,0.07622804912196379,0.09406461645386889,0.11316405600576848,0.13133832086450353,0.1566374999999978,0.17814999999999745,0.20323749999999713,0.2264249999999968,0.24509999999999652,0.2553374999999964,0.26507499999999623,0.2654499999999962,0.2620999999999963,0.25497499999999634,0.23931249999999663,0.22273749999999684,0.21069999999999703,0.1975374999999972,0.17513749999999753,0.16157499999999772,0.14531249999999793,0.12964999999999816,0.11381249999999839,0.10102499999999856,0.08711249999999876,0.07829999999999888,0.06943749999999901,0.060312499999999145,0.051974999999999265,0.047149999999999324,0.0419874999999994,0.03749999999999947,0.03403749999999952,0.029874999999999576,0.0280749999999996,0.024224999999999653,0.022962499999999674,0.021937499999999686,0.020062499999999716,0.018724999999999735,0.016712499999999762,0.015162499999999784,0.0141124999999998,0.012874999999999819,0.012212499999999828,0.01199999999999983,0.010974999999999843,0.010062499999999856,0.010024999999999859,0.009349999999999867,0.00919999999999987,0.009024999999999872,0.008962499999999873,0.008737499999999876,0.008699999999999876,0.00836249999999988,0.008112499999999885,0.00776249999999989,0.007887499999999888,0.007637499999999892,0.007474999999999894,0.007412499999999894,0.0071999999999998975,0.0070124999999999,0.0070499999999999,0.0070374999999999,0.0070124999999999,0.006962499999999901,0.006937499999999901,0.006924999999999901,0.006912499999999902,0.006912499999999902,0.006962499999999901,0.006962499999999901,0.006962499999999901,0.006962499999999901
8.75,0.01963329506716595,0.023745870419322898,0.0284953362174599,0.034382091306332054,0.04050637975481153,0.04930610163007689,0.05921738543429854,0.0685666997103575,0.08214078563142554,0.10285231417706935,0.12183917528866066,0.14270089188057478,0.16230000000000058,0.18931250000000066,0.21146250000000077,0.23291250000000083,0.24640000000000087,0.2559625000000009,0.26413750000000097,0.2570500000000009,0.2544750000000009,0.24537500000000087,0.2303875000000008,0.21437500000000076,0.20031250000000073,0.18415000000000065,0.1674875000000006,0.14975000000000052,0.13241250000000046,0.11772500000000041,0.10357500000000036,0.08975000000000033,0.08082500000000029,0.07062500000000026,0.061800000000000216,0.05306250000000019,0.047200000000000165,0.042212500000000146,0.03767500000000013,0.034075000000000126,0.029525000000000103,0.0276375000000001,0.023912500000000086,0.022850000000000082,0.02115000000000008,0.018987500000000067,0.01756250000000006,0.015375000000000055,0.01435000000000005,0.012900000000000045,0.012325000000000043,0.01182500000000004,0.01093750000000004,0.009812500000000035,0.009612500000000034,0.009275000000000033,0.008825000000000032,0.008900000000000031,0.008550000000000032,0.008125000000000028,0.007700000000000027,0.007600000000000027,0.007275000000000026,0.006975000000000025,0.006850000000000024,0.006775000000000024,0.006612500000000024,0.006525000000000023,0.006587500000000024,0.006700000000000024,0.006550000000000023,0.0065375000000000225,0.0065375000000000225,0.006550000000000023,0.006625000000000024,0.006625000000000024,0.006650000000000024,0.006587500000000024,0.006637500000000024,0.006600000000000024,0.006562500000000024,0.006587500000000024,0.0065750000000000235,0.0065750000000000235
