r,theta_deg_center,theta_deg_lo_1sigma,theta_deg_hi_1sigma,theta_deg_std
0.08035204442448066,10.177347160587232,9.459242908346845,10.633721051454783,0.5652275969636718
0.08175166355170811,10.419601096533968,9.691935631838856,10.879415151631049,0.5686340718036206
0.08315128267893558,10.659804909002855,9.923189437995944,11.123768191944238,0.5721580720812425
0.08455090180616304,10.898191129407206,10.153326750335955,11.363958894995836,0.5757903449181409
0.0859505209333905,11.1350383479428,10.388375119254105,11.601661395613856,0.5794852877619189
0.08735014006061798,11.37039907555855,10.616127882719598,11.837696756713743,0.5832494329543843
0.08874975918784545,11.60414365458296,10.840429417161365,12.073858883212504,0.5871026780987878
0.0901493783150729,11.836491140588706,11.064381773541283,12.315341016220716,0.5910302428019947
0.09154899744230037,12.067664186963295,11.288193081162776,12.558762320800211,0.5950022279499416
0.09294861656952783,12.297604015160124,11.512128510091415,12.801624434792904,0.5990237422361884
0.0943482356967553,12.52629162503717,11.736041459770751,13.04399098195614,0.6031063439047443
0.09574785482398276,12.75388936086145,11.960526886949006,13.285297627899194,0.6072364247517217
0.09714747395121023,12.9805417318612,12.184054610189127,13.521374961014033,0.611396857709465
0.09854709307843769,13.206156308428993,12.40667725862093,13.753205143751407,0.6155879674823487
0.09994671220566516,13.430773844427193,12.628367338296652,13.981007422673082,0.6198166462941781
0.10134633133289261,13.65450684742492,12.849134367558474,14.207553412863243,0.6240736377243834
0.10274595046012008,13.87743008702038,13.0689985271383,14.436441996882465,0.6283500233542918
0.10414556958734755,14.099465168767336,13.288578445386571,14.668551910823478,0.6326429714709092
0.10554518871457502,14.320674781008687,13.507644194150313,14.897001432642766,0.6369567062418042
0.10694480784180248,14.541144073367336,13.725837058676488,15.121838147683627,0.6412851573561229
0.10834442696902995,14.760896765807315,13.94587789028076,15.34708784097045,0.645625732818452
0.10974404609625742,14.979883233977146,14.166182918537535,15.568778620854557,0.6499762000297262
0.11114366522348487,15.198175559254091,14.379114706385938,15.790366700356422,0.6543373621223393
0.11254328435071234,15.41584991646013,14.589188941904938,16.011405392255114,0.6587034605225556
0.11394290347793981,15.63288837253953,14.799134154038194,16.231425728793006,0.6630788090408811
0.11534252260516727,15.849278171764867,15.010428230189776,16.45041263994622,0.6674633386478387
0.11674214173239474,16.06509014964267,15.220961474998054,16.668843192375437,0.6718511866571167
0.1181417608596222,16.280389996082544,15.434196377761502,16.886989662226583,0.6762388742272827
0.11954137998684966,16.49513748141665,15.654246571242593,17.104614052521928,0.680637419045494
